Invoice ID,Line,Customer ID,Product ID,Size,Color,Unit Price,Quantity,Date,Discount,Line Total,Store ID,Employee ID,Currency,Currency Symbol,SKU,Transaction Type,Payment Method,Invoice Total
INV-CN-006-03123323,1,395766,15782,N,Black,269.5,1,2025-04-15,0,269.5,6,71,CNY,,CHAC15782--,Sale,Credit Card,1233.53
INV-CN-006-03123323,2,395766,16474,38,Black,809,1,2025-04-15,0,809,6,71,CNY,,MAPA16474-38-,Sale,Credit Card,1233.53
INV-CN-006-03123323,3,395766,16186,XXL,BLUE,238.5,1,2025-04-15,0.35,155.03,6,71,CNY,,MAT-16186-XXL-BLUE,Sale,Credit Card,1233.53
INV-CN-006-03123350,1,371787,16460,M,BEIGE,451,1,2025-04-15,0,451,6,68,CNY,,FESW16460-M-BEIGE,Sale,Credit Card,451
INV-CN-006-03123451,1,648432,15929,M,Black,1105,1,2025-04-15,0,1105,6,66,CNY,,MASU15929-M-,Sale,Credit Card,1326.33
INV-CN-006-03123451,2,648432,17008,L,Black,340.5,1,2025-04-15,0.35,221.33,6,66,CNY,,FESH17008-L-,Sale,Credit Card,1326.33
INV-CN-008-01645265,1,481583,17435,L,Black,199,1,2025-04-15,0.35,129.35,8,98,CNY,,MASH17435-L-,Sale,Credit Card,129.35
INV-CN-009-05130121,1,573924,15986,P,YELLOW,314,1,2025-04-15,0.35,204.1,9,105,CNY,,CHGI15986-P-YELLOW,Sale,Credit Card,204.1
INV-CN-009-05130145,1,606514,17591,XXL,Black,278.5,1,2025-04-15,0.35,181.03,9,103,CNY,,MASH17591-XXL-,Sale,Credit Card,181.03
INV-DE-011-03367510,1,698763,16020,L,Black,22,1,2025-04-15,0.35,14.3,11,128,EUR,,FESH16020-L-,Sale,Credit Card,14.3
INV-ES-026-04819184,1,1295880,15927,M,Black,27,2,2025-04-15,0.35,35.1,26,302,EUR,,MASH15927-M-,Sale,Cash,35.1
INV-ES-030-04414994,1,1366107,17245,S,Black,29.5,1,2025-04-15,0,29.5,30,346,EUR,,FESK17245-S-,Sale,Credit Card,56.48
INV-ES-030-04414994,2,1366107,15120,M,YELLOW,41.5,1,2025-04-15,0.35,26.98,30,346,EUR,,MAT-15120-M-YELLOW,Sale,Credit Card,56.48
INV-FR-024-03707159,1,1210912,15936,P,Black,44.5,1,2025-04-15,0,44.5,24,275,EUR,,CHSW15936-P-,Sale,Credit Card,44.5
INV-FR-025-03001163,1,1244260,17553,M,WHITE,42.5,1,2025-04-15,0.35,27.62,25,287,EUR,,FEDR17553-M-WHITE,Sale,Credit Card,78.62
