Invoice ID,Line,Customer ID,Product ID,Size,Color,Unit Price,Quantity,Date,Time,Discount,Line Total,Store ID,Employee ID,Currency,SKU,Transaction Type,Payment Method,Invoice Total,
INV-US-002-02091574,2,103340,16991,M,BLACK,44.5,1,,,0,44.5,2,24,USD,MASW16991-M-BLACK,Sale,Credit Card,60.42,
INV-US-003-04035150,1,168653,17806,P,MUSTARD,62.5,1,,,0.35,40.62,3,31,USD,CHGI17806-P-MUSTARD,Sale,Cash,99.12,
INV-US-003-04035150,2,168653,16476,M,Black,58.5,1,,,0,58.5,3,31,USD,MASP16476-M-,Sale,Cash,99.12,
INV-US-004-01495704,1,225660,16386,42,Black,89,1,,,0,89,4,47,USD,FEPA16386-42-,Sale,Credit Card,89,
INV-CN-007-02327582,1,482916,17448,M,BLACK,446.5,1,,,0,446.5,7,78,CNY,FESW17448-M-BLACK,Sale,Credit Card,446.5,
INV-CN-007-02327642,1,461139,15869,S,Black,521.5,1,,,0,521.5,7,85,CNY,FESP15869-S-,Sale,Credit Card,521.5,
INV-FR-021-03712225,1,1093936,17738,36,Black,52.5,1,,,0,52.5,21,246,EUR,FEPA17738-36-,Sale,Credit Card,52.5,
INV-PT-035-01497612,1,1639526,15853,M,Black,25,1,,,0,25,35,400,EUR,MAUN15853-M-,Sale,Credit Card,25,
INV-UK-017-02558854,1,972264,16823,M,BLUE,57,1,,,0,57,17,199,GBP,FECO16823-M-BLUE,Sale,Credit Card,57,
INV-US-002-02091692,1,110813,16605,L,Black,138.5,1,,,0,138.5,2,24,USD,MASU16605-L-,Sale,Cash,138.5,
INV-US-005-04364033,1,293701,15128,G,PINK,62,1,,,0.35,40.3,5,58,USD,CHGI15128-G-PINK,Sale,Cash,40.3,
INV-DE-014-04953501,1,827539,17074,M,Black,60.5,1,,,0,60.5,14,169,EUR,MASP17074-M-,Sale,Credit Card,60.5,
INV-ES-026-04819116,1,1298336,16048,40,Black,40,1,,,0,40,26,298,EUR,FEPA16048-40-,Sale,Credit Card,40,
INV-FR-023-03378986,1,1189676,15856,M,TURQUOISE,31.5,1,,,0.35,20.48,23,263,EUR,CHGI15856-M-TURQUOISE,Sale,Credit Card,47.45,
INV-FR-023-03378986,2,1189676,16246,G,PINK,41.5,1,,,0.35,26.98,23,263,EUR,CHGI16246-G-PINK,Sale,Credit Card,47.45,
INV-UK-018-01844320,1,1001411,16434,S,BURGUNDY,26.5,1,,,0,26.5,18,212,GBP,FESW16434-S-BURGUNDY,Sale,Cash,80.12,
INV-UK-018-01844320,2,1001411,15188,S,Black,27.5,3,,,0.35,53.62,18,212,GBP,FESH15188-S-,Sale,Cash,80.12,
INV-UK-020-02767749,1,1058495,16394,M,Black,23,1,,,0.35,14.95,20,233,GBP,MAT-16394-M-,Sale,Credit Card,14.95,
INV-US-001-03880803,1,34352,16990,M,LILAC,78,1,,,0,78,1,12,USD,MACO16990-M-LILAC,Sale,Credit Card,184.5,
INV-US-001-03880803,2,34352,17455,S,Black,35.5,3,,,0,106.5,1,12,USD,FESP17455-S-,Sale,Credit Card,184.5,
INV-US-002-02091661,1,205621,16683,XL,Black,126.5,3,,,0,379.5,2,21,USD,MASU16683-XL-,Sale,Credit Card,379.5,
INV-US-004-01495625,1,259160,15440,G,MUSTARD,62,1,,,0.35,40.3,4,48,USD,CHGI15440-G-MUSTARD,Sale,Credit Card,40.3,
INV-CN-006-03123246,1,404838,16915,M,Black,190,1,,,0.35,123.5,6,70,CNY,MASH16915-M-,Sale,Credit Card,123.5,
INV-CN-006-03123300,1,386281,15908,M,GREEN,393.5,1,,,0.35,255.78,6,66,CNY,CHGI15908-M-GREEN,Sale,Credit Card,255.78,
INV-CN-006-03123323,1,395766,15782,N,Black,269.5,1,,,0,269.5,6,71,CNY,CHAC15782--,Sale,Credit Card,1233.53,
INV-CN-006-03123323,2,395766,16474,38,Black,809,1,,,0,809,6,71,CNY,MAPA16474-38-,Sale,Credit Card,1233.53,
INV-CN-006-03123323,3,395766,16186,XXL,BLUE,238.5,1,,,0.35,155.03,6,71,CNY,MAT-16186-XXL-BLUE,Sale,Credit Card,1233.53,
INV-CN-006-03123350,1,371787,16460,M,BEIGE,451,1,,,0,451,6,68,CNY,FESW16460-M-BEIGE,Sale,Credit Card,451,
INV-CN-006-03123451,1,648432,15929,M,Black,1105,1,,,0,1105,6,66,CNY,MASU15929-M-,Sale,Credit Card,1326.33,
INV-CN-006-03123451,2,648432,17008,L,Black,340.5,1,,,0.35,221.33,6,66,CNY,FESH17008-L-,Sale,Credit Card,1326.33,
INV-CN-008-01645265,1,481583,17435,L,Black,199,1,,,0.35,129.35,8,98,CNY,MASH17435-L-,Sale,Credit Card,129.35,
INV-CN-009-05130121,1,573924,15986,P,YELLOW,314,1,,,0.35,204.1,9,105,CNY,CHGI15986-P-YELLOW,Sale,Credit Card,204.1,
INV-CN-009-05130145,1,606514,17591,XXL,Black,278.5,1,,,0.35,181.03,9,103,CNY,MASH17591-XXL-,Sale,Credit Card,181.03,
INV-DE-011-03367510,1,698763,16020,L,Black,22,1,,,0.35,14.3,11,128,EUR,FESH16020-L-,Sale,Credit Card,14.3,
INV-ES-026-04819184,1,1295880,15927,M,Black,27,2,,,0.35,35.1,26,302,EUR,MASH15927-M-,Sale,Cash,35.1,
INV-ES-030-04414994,1,1366107,17245,S,Black,29.5,1,,,0,29.5,30,346,EUR,FESK17245-S-,Sale,Credit Card,56.48,
INV-ES-030-04414994,2,1366107,15120,M,YELLOW,41.5,1,,,0.35,26.98,30,346,EUR,MAT-15120-M-YELLOW,Sale,Credit Card,56.48,
INV-FR-024-03707159,1,1210912,15936,P,Black,44.5,1,,,0,44.5,24,275,EUR,CHSW15936-P-,Sale,Credit Card,44.5,
INV-FR-025-03001163,1,1244260,17553,M,WHITE,42.5,1,,,0.35,27.62,25,287,EUR,FEDR17553-M-WHITE,Sale,Credit Card,78.62,
INV-FR-025-03001163,2,1244260,16460,S,BEIGE,51,1,,,0,51,25,287,EUR,FESW16460-S-BEIGE,Sale,Credit Card,78.62,
INV-UK-017-02558892,1,949592,17421,S,YELLOW,34.5,1,,,0,34.5,17,205,GBP,FECO17421-S-YELLOW,Sale,Credit Card,34.5,
INV-US-001-03880784,1,77248,17401,M,Black,45.5,2,,,0,91,1,10,USD,FESK17401-M-,Sale,Credit Card,170.05,
INV-US-001-03880784,2,77248,17303,M,PINK,61.5,1,,,0,61.5,1,10,USD,MASW17303-M-PINK,Sale,Credit Card,170.05,
INV-US-001-03880784,3,77248,15068,L,TURQUOISE,27,1,,,0.35,17.55,1,10,USD,MAT-15068-L-TURQUOISE,Sale,Credit Card,170.05,
INV-US-001-03880992,1,2615,15487,XL,Black,126,1,,,0,126,1,12,USD,MASU15487-XL-,Sale,Cash,126,
INV-US-003-04035134,1,162072,16599,N,GOLD,33,1,,,0,33,3,35,USD,FEAC16599--GOLD,Sale,Credit Card,170.05,
INV-US-003-04035134,2,162072,17052,P,LILAC,37,1,,,0.35,24.05,3,35,USD,CHGI17052-P-LILAC,Sale,Credit Card,170.05,
INV-US-003-04035134,3,162072,17722,40,Black,113,1,,,0,113,3,35,USD,MAPA17722-40-,Sale,Credit Card,170.05,
